"","index.lci","X25.","index","X75.","index.uci","node","year","species","nknots"
"popr[20]1",355908.931420574,388004.408512804,405753.30429592,424620.765980899,463929.278705299,"popr[20]",2003,"CAAU",6
"popr[21]1",349498.937351004,380285.760739051,397108.148071554,415034.207296912,452424.877339456,"popr[21]",2004,"CAAU",6
"popr[22]1",347693.837897159,377313.867310094,393630.250168056,410927.33154544,446809.663668114,"popr[22]",2005,"CAAU",6
"popr[23]1",350588.474995117,378973.670443747,395010.174190029,411716.937109165,445992.455398923,"popr[23]",2006,"CAAU",6
"popr[24]1",356412.395625108,384905.433332788,400814.373010291,416806.576364029,450545.000012843,"popr[24]",2007,"CAAU",6
"popr[25]1",365945.349099717,394145.786942337,409958.012713963,426095.477402844,459356.470522746,"popr[25]",2008,"CAAU",6
"popr[26]1",376479.071673517,405543.296850022,421841.278792861,438493.344292922,472621.131645584,"popr[26]",2009,"CAAU",6
"popr[27]1",386596.953202535,418159.940266247,435236.656052562,452986.322420734,488681.128999723,"popr[27]",2010,"CAAU",6
"popr[28]1",396713.616969353,430373.373578352,448736.866295566,467755.467559053,506299.846305665,"popr[28]",2011,"CAAU",6
"popr[29]1",405547.910950849,441285.397739152,461146.581020424,481273.959921495,523128.991186103,"popr[29]",2012,"CAAU",6
"popr[30]1",413039.445228423,450500.445387135,471050.428640165,492237.700449472,535901.734731153,"popr[30]",2013,"CAAU",6
"popr[31]1",419132.722667496,456855.400895687,477714.115070258,499425.395467596,542918.916068216,"popr[31]",2014,"CAAU",6
"popr[32]1",423553.561392452,460066.799162134,480901.09589452,502247.080572672,545355.874908259,"popr[32]",2015,"CAAU",6
"popr[33]1",424493.969953205,460404.265197008,480688.290072413,501555.29773136,544149.477835938,"popr[33]",2016,"CAAU",6
"popr[34]1",423242.009795564,458063.644536057,478012.579196512,498787.789590936,541243.290197329,"popr[34]",2017,"CAAU",6
"popr[35]1",417738.434253953,453385.939124856,473756.285688448,495300.077475775,539423.104429036,"popr[35]",2018,"CAAU",6
"popr[36]1",408123.137506016,447055.757880955,469124.185656617,492539.045622641,540452.300178113,"popr[36]",2019,"CAAU",6
"popr[1]2",165129.451109327,169350.848667816,171268.103906541,173331.738273445,178268.835595822,"popr[1]",1984,"RHAU",6
"popr[2]2",167821.800467685,169825.621948679,170947.877973395,172208.286980491,175331.533383067,"popr[2]",1985,"RHAU",6
"popr[3]2",167897.447316905,169620.142829844,170586.589247386,171775.915129711,175014.239079937,"popr[3]",1986,"RHAU",6
"popr[4]2",165379.708431757,168536.205200681,170169.925573717,172037.135003682,177022.263901985,"popr[4]",1987,"RHAU",6
"popr[5]2",162314.948809773,167207.768874946,169584.025532131,172190.026044674,179175.311329532,"popr[5]",1988,"RHAU",6
"popr[6]2",159277.964926512,165729.073874323,168762.107490705,172017.71021928,180629.97169844,"popr[6]",1989,"RHAU",6
"popr[7]2",156300.959530273,164052.986321537,167693.86568006,171534.036615444,181392.588626448,"popr[7]",1990,"RHAU",6
"popr[8]2",153234.010317417,162182.696826587,166365.683541591,170777.406543594,181637.752616633,"popr[8]",1991,"RHAU",6
"popr[9]2",150248.019447357,160155.30033297,164900.847975476,169801.102618591,181667.738174593,"popr[9]",1992,"RHAU",6
"popr[10]2",147134.24056683,158027.423616676,163314.91138636,168743.530854213,181241.755890186,"popr[10]",1993,"RHAU",6
"popr[11]2",144141.857178272,155992.085918165,161730.87561319,167617.100029942,181053.606129625,"popr[11]",1994,"RHAU",6
"popr[12]2",141417.612129424,154030.206136756,160233.269361802,166619.727208742,180678.235470064,"popr[12]",1995,"RHAU",6
"popr[13]2",139035.597769634,152454.869037635,158927.96170757,165606.160372926,180327.017709919,"popr[13]",1996,"RHAU",6
"popr[14]2",137242.580701625,151158.26350481,157854.708002432,164785.46425279,179983.999966843,"popr[14]",1997,"RHAU",6
"popr[15]2",136215.362214804,150306.02809036,157112.284376052,164197.131306422,179153.585137895,"popr[15]",1998,"RHAU",6
"popr[16]2",135971.41858282,149911.365778208,156655.947178332,163638.033456403,178000.706561671,"popr[16]",1999,"RHAU",6
"popr[17]2",136524.633088252,149875.955515595,156525.212671621,163358.231022488,177334.886830157,"popr[17]",2000,"RHAU",6
"popr[18]2",137471.053629608,150182.898113581,156729.560829352,163377.245316404,176745.347372064,"popr[18]",2001,"RHAU",6
"popr[19]2",138533.563417694,150679.346203169,157115.739066563,163683.963990937,176659.440330375,"popr[19]",2002,"RHAU",6
"popr[20]2",139581.223713357,151402.880447486,157721.461891275,164130.239182599,177049.920192209,"popr[20]",2003,"RHAU",6
"popr[21]2",140690.997577099,152211.441216806,158519.756650918,164839.741463503,177697.052886833,"popr[21]",2004,"RHAU",6
"popr[22]2",141694.308935473,153138.928244042,159345.655892423,165707.097034374,178696.478713322,"popr[22]",2005,"RHAU",6
"popr[23]2",142875.664160496,154063.443940212,160195.656201307,166570.894462513,179470.411526816,"popr[23]",2006,"RHAU",6
"popr[24]2",143901.214630009,155010.239516417,160986.183023536,167380.058464389,180212.157108782,"popr[24]",2007,"RHAU",6
"popr[25]2",144910.398743073,155888.836464714,161727.489525802,168047.771555512,180837.113791661,"popr[25]",2008,"RHAU",6
"popr[26]2",145688.13328503,156584.22750136,162409.702123655,168697.019968103,181471.503321465,"popr[26]",2009,"RHAU",6
"popr[27]2",146327.761924084,157104.25865202,163013.421492201,169258.001544032,182134.478938473,"popr[27]",2010,"RHAU",6
"popr[28]2",146525.423135863,157480.044436044,163530.626499166,169822.917733371,182910.809059537,"popr[28]",2011,"RHAU",6
"popr[29]2",146611.034791246,157780.600825317,163907.03872842,170212.094142781,183636.699062919,"popr[29]",2012,"RHAU",6
"popr[30]2",146556.740940424,158009.850924073,164193.223896953,170706.159738043,184232.867805116,"popr[30]",2013,"RHAU",6
"popr[31]2",146189.029179641,158055.756231085,164348.926394324,171092.241159374,184867.670897919,"popr[31]",2014,"RHAU",6
"popr[32]2",145927.87602202,158046.538349615,164486.131015052,171391.766709331,185526.89298932,"popr[32]",2015,"RHAU",6
"popr[33]2",145372.687117087,157945.493952009,164555.783236259,171723.914425937,186761.830624178,"popr[33]",2016,"RHAU",6
"popr[34]2",144411.249293671,157510.055118666,164616.109664533,172239.968879811,188196.30663025,"popr[34]",2017,"RHAU",6
