"","index.lci","X25.","index","X75.","index.uci","node","year","species","nknots"
"pop[23]2",50.1904954582381,52.9960558185831,54.5042476004944,56.0196951087253,59.1457127112936,"pop[23]",2006,"RHAU",6
"pop[24]2",50.7896379466006,53.5087105623827,54.9348171935731,56.4101535187169,59.448822526661,"pop[24]",2007,"RHAU",6
"pop[25]2",51.4170020852705,53.9915485834854,55.361389023974,56.7840281830195,59.7815715880987,"pop[25]",2008,"RHAU",6
"pop[26]2",51.9874386526103,54.4539707713054,55.765302842476,57.1718042048817,60.0710623790041,"pop[26]",2009,"RHAU",6
"pop[27]2",52.4635516676133,54.8598901646071,56.1384011130748,57.5334903326323,60.4098432422203,"pop[27]",2010,"RHAU",6
"pop[28]2",52.8168427223074,55.1908405256011,56.4954655348952,57.8746013669705,60.8147542972028,"pop[28]",2011,"RHAU",6
"pop[29]2",52.9888487949577,55.456425958118,56.8071940335955,58.2272722540426,61.245963136662,"pop[29]",2012,"RHAU",6
"pop[30]2",53.0848397755654,55.6602049993959,57.05808894884,58.5394919839722,61.5525229321557,"pop[30]",2013,"RHAU",6
"pop[31]2",53.0977872073307,55.7949769522394,57.2630911664126,58.7836252469888,61.904932668084,"pop[31]",2014,"RHAU",6
"pop[32]2",53.0415401677982,55.8767395808581,57.4102294782986,58.9998577016428,62.2145883345906,"pop[32]",2015,"RHAU",6
"pop[33]2",52.8239990366326,55.8435451520341,57.4999948951006,59.1934818309045,62.7195071364045,"pop[33]",2016,"RHAU",6
"pop[34]2",52.3846043948393,55.7572449664304,57.5924807667463,59.4608038648622,63.3464393138299,"pop[34]",2017,"RHAU",6
"pop[35]2",51.6615209910088,55.5815677224459,57.644705574174,59.7660719442842,64.164697965321,"pop[35]",2018,"RHAU",6
"pop[36]2",50.7913665644951,55.3962563153809,57.7212316383118,60.0881836741232,65.1575223338725,"pop[36]",2019,"RHAU",6
"pop[1]3",52.252983194789,62.1373987428024,67.3141172073861,73.0547295547284,86.130571679423,"pop[1]",1984,"TUPU",6
"pop[2]3",52.5715703641852,61.8119409443319,66.5592960502545,71.8093513127342,83.6147990264693,"pop[2]",1985,"TUPU",6
"pop[3]3",52.4777817917008,61.3037939367756,65.7806909874343,70.6590550164522,81.9852010256871,"pop[3]",1986,"TUPU",6
"pop[4]3",52.1844402983867,60.7332336993399,65.0274934786128,69.6481724978025,80.4838046479165,"pop[4]",1987,"TUPU",6
